platform,title,url,episode,first_seen,last_seen,latest_views,latest_likes,latest_comments
facebook,"After admitting 'I messed up,' a city councilman's inappropriate conduct is under scrutiny. His emails, including one te",https://www.facebook.com/100076110496091/posts/1012194554660885,2026-06-08_record_straight,t2,t6,6363,42,
facebook,"Over 25,000 people gathered at Stonewood Mall for a massive watch party. Despite the $300,000 cost, it was a memorable e",https://www.facebook.com/100076110496091/posts/1034284952451845,2026-06-08_record_straight,t8,t14,6355,46,
facebook,Tensions flared at the city council meeting as a woman repeatedly defied the mayor's requests to sit down. Despite multi,https://www.facebook.com/100076110496091/posts/1010707518142922,2026-06-08_record_straight,t1,t4,5812,,
facebook,"Discover My Home, a beloved Chinese restaurant in Downey. Their Mongolian beef, dumplings, orange chicken, and amazing s",https://www.facebook.com/100076110496091/posts/1057394010140939,2026-06-08_record_straight,t17,t21,4999,36,
facebook,"Debating whether to rock the city seal jacket on a bike ride. Might catch some flak from Mr. Trujillo, but feeling bold",https://www.facebook.com/100076110496091/posts/1013053857908288,2026-06-08_record_straight,t3,t7,2575,18,
facebook,A terrifying moment outside City Hall as a car nearly hits a family. A witness captured the incident and checked on the,https://www.facebook.com/100076110496091/posts/1025648663315474,2026-06-08_record_straight,t8,t9,2491,21,
facebook,"Tired of fake news and personal attacks. Let's set the record straight about my 42-year marriage, bachelor party, and ru",https://www.facebook.com/100076110496091/posts/1028127696400904,2026-06-08_record_straight,t8,t9,2435,26,
facebook,The Newsom administration and Rob Bonta's lawsuit against the federal government has been withdrawn. They failed to meet,https://www.facebook.com/100076110496091/posts/1076882021525471,2026-06-08_record_straight,t29,t30,2249,99,
facebook,A proposed 145-unit residential condominium project on 6.1 acres is raising concerns among nearby residents and communit,https://www.facebook.com/100076110496091/posts/1060638479816492,2026-06-08_record_straight,t17,t23,2225,9,
facebook,"A new pho restaurant called GYU Pho has opened at Downey Gateway, right where the old hummus factory used to be. It's on",https://www.facebook.com/100076110496091/posts/1016490837564590,2026-06-08_record_straight,t4,t7,2178,11,
facebook,"Downey is experiencing a surge of new Asian-style restaurants. From Silver Lake Ramen to other popular spots, the city's",https://www.facebook.com/100076110496091/posts/1016293220917685,2026-06-08_record_straight,t4,t7,2043,21,
facebook,La Chula Mexican food is getting some new neighbors! A Tacos Con Todo is closing down to make way for a Mongolian barbec,https://www.facebook.com/100076110496091/posts/1017119150835092,2026-06-08_record_straight,t6,t7,1956,13,
facebook,"This new Korean barbecue spot in Downey is so popular, there's always a line out the door. Yogi Berra once said, 'Nobody",https://www.facebook.com/100076110496091/posts/1016586934221647,2026-06-08_record_straight,t4,t7,1846,13,
facebook,"Discover Pop's Wings, a family-owned gem in Downey serving up more than just wings. Their pastrami sandwich on toasted b",https://www.facebook.com/100076110496091/posts/1046305594583114,2026-06-08_record_straight,t14,t17,1846,28,
facebook,"Get ready for an exciting new addition at Stonewood Mall! Round One is opening its doors, spanning an incredible 150,000",https://www.facebook.com/100076110496091/posts/1017951187418555,2026-06-08_record_straight,t6,t7,1813,23,
facebook,I grew up in Huntington Park and still own property there. The city's rules and ordinances are hurting residents. They a,https://www.facebook.com/100076110496091/posts/1011414234738917,2026-06-08_record_straight,t1,t6,1795,12,
facebook,Downey City Council adopted a new Code of Ethics and Conduct for commission and board members on May 26th. This follows,https://www.facebook.com/100076110496091/posts/1045733941306946,2026-06-08_record_straight,t14,t17,1760,19,
facebook,"Hearing someone say they're embarrassed to be American is disheartening. Mr. Trujillo, no matter the flaws, this country",https://www.facebook.com/100076110496091/posts/1011215308092143,2026-06-08_record_straight,t1,t6,1721,26,
facebook,"Everyone talks about Porto's, but do you know their hidden gems? Try the chorizo and egg sandwich on Cuban bread for bre",https://www.facebook.com/100076110496091/posts/1051151724098501,2026-06-08_record_straight,t17,t18,1712,21,
facebook,"You've heard of Downey Pizza Company's pastrami pizza? My friend asked if I'd heard of it, and I told him I've been enjo",https://www.facebook.com/100076110496091/posts/1052003447346662,2026-06-08_record_straight,t17,t19,1685,17,
facebook,Stuck on Fairford for nearly two and a half hours today. What started quiet turned into insane rush hour traffic by 4 PM,https://www.facebook.com/100076110496091/posts/1063315352882138,2026-06-08_record_straight,t18,t25,1635,7,
facebook,Mr. Trujillo informed me about a seal amidst unauthorized merchandise. I’ll showcase the merchandise in the second video,https://www.facebook.com/100076110496091/posts/1012918541255153,2026-06-08_record_straight,t2,t6,1601,10,
facebook,"Get ready for some soccer action! The city of Downey is hosting watch parties for FIFA events, including one at Stonewoo",https://www.facebook.com/100076110496091/posts/1014741211072886,2026-06-08_record_straight,t4,t7,1531,12,
facebook,Discover the surprising truth about the NFL's structure. Learn how a losing season can actually benefit teams with bette,https://www.facebook.com/100076110496091/posts/1065806945966312,2026-06-08_record_straight,t19,t25,1459,1,
facebook,"Right next to Porto's, Downey Gateway offers an incredible array of dining options. From pho and Mongolian barbecue to p",https://www.facebook.com/100076110496091/posts/1017258417487832,2026-06-08_record_straight,t6,t7,1452,9,
facebook,"Downtown Downey has some incredible spots, and La Chula Mexican Food is one of them. Adriana opened it during COVID, and",https://www.facebook.com/100076110496091/posts/1057191436827863,2026-06-08_record_straight,t17,t21,1448,7,
facebook,"Regarding the Honda World Project. After a marathon meeting from 6:00 AM to 1:00 AM, a vote of 5-0 rejected the proposal",https://www.facebook.com/100076110496091/posts/1064809539399386,2026-06-08_record_straight,t19,t25,1441,8,
facebook,"Being a lifetime member of the UCLA alumni association since the 80s, I'm incredibly proud of my school. Even with a wif",https://www.facebook.com/100076110496091/posts/1070148738865466,2026-06-08_record_straight,t21,t25,1440,5,
facebook,"The podcast host addresses accusations of attacking opponents, fueling division, and talking down on women, presenting h",https://www.facebook.com/100076110496091/posts/1026284329918574,2026-06-08_record_straight,t8,t9,1435,16,
facebook,I felt compelled to respond after listening to recent discussions. He acknowledges the great things happening in Downey,https://www.facebook.com/100076110496091/posts/1010418734838467,2026-06-08_record_straight,t0,t4,1416,,
facebook,,https://www.facebook.com/100076110496091/posts/1004359515444389,2026-06-08_record_straight,t0,t4,1391,,
facebook,"Discover Poached, a North Downey favorite open only for breakfast and lunch. Their commitment to fresh ingredients shine",https://www.facebook.com/100076110496091/posts/1052894390590901,2026-06-08_record_straight,t17,t20,1358,18,
facebook,"A 2007 letter from a prominent citizen sent shockwaves through the community, igniting action. Today, witnessing the res",https://www.facebook.com/100076110496091/posts/1030734439473563,2026-06-08_record_straight,t8,t12,1357,8,
facebook,"The World Cup brings incredible passion as countries pour their hearts into the game. While celebrations are amazing, le",https://www.facebook.com/100076110496091/posts/1034497039097303,2026-06-08_record_straight,t8,t14,1348,5,
facebook,A mayor's controversial call for gang members to confront ICE sparked a federal investigation and public outcry. The inc,https://www.facebook.com/100076110496091/posts/1010559058157768,2026-06-08_record_straight,t1,t4,1314,,
facebook,Discover the incredible bento box lunch special at Starfish Sushi in downtown Downey. This spot offers delicious sushi r,https://www.facebook.com/100076110496091/posts/1053768200503520,2026-06-08_record_straight,t17,t20,1286,6,
facebook,"Did you know Chipotle has a secret menu? I discovered their amazing chicken quesadilla, complete with rice and beans, an",https://www.facebook.com/100076110496091/posts/1058906083323065,2026-06-08_record_straight,t17,t23,1261,4,
facebook,I recently learned about the excessive security demands for FIFA officials in Vancouver. They asked for Level 4 security,https://www.facebook.com/100076110496091/posts/1013734454506895,2026-06-08_record_straight,t3,t7,1254,8,
facebook,"Walking through downtown, the changes are unbelievable. On election night 2006, after a celebration, the former mayor an",https://www.facebook.com/100076110496091/posts/1030948086118865,2026-06-08_record_straight,t8,t12,1232,7,
facebook,"Downey is buzzing for the championship game on Sunday, July 19th! Downey Avenue will be closed for a street party with T",https://www.facebook.com/100076110496091/posts/1035161635697510,2026-06-08_record_straight,t8,t14,1228,9,
facebook,"Some people prefer fake AI tactics, but I'm here to share the real story. I'm being followed, and if you're brave enough",https://www.facebook.com/100076110496091/posts/1028339743046366,2026-06-08_record_straight,t8,t9,1214,14,
facebook,"After 15 years of dedicated effort, the Gateway sign is finally being installed. This project is funded entirely by arts",https://www.facebook.com/100076110496091/posts/1037014242178916,2026-06-08_record_straight,t8,t16,1194,4,
facebook,"Even during COVID, I prioritized being in court for my clients. I believe court proceedings should always be public and",https://www.facebook.com/100076110496091/posts/1041742161706124,2026-06-08_record_straight,t10,t16,1139,5,
facebook,"This isn't just food; it's an experience! Imagine a sizzling lava pot filled with grilled carne asada, chicken, chorizo,",https://www.facebook.com/100076110496091/posts/1058235356723471,2026-06-08_record_straight,t17,t22,1139,9,
facebook,Going through old photos brought back UCLA football memories. From player interviews for the Westwood Touchdown Club to,https://www.facebook.com/100076110496091/posts/1069941258886214,2026-06-08_record_straight,t21,t25,1106,6,
facebook,"We're building this show for you! Your questions and suggestions directly influence what we cover, from new restaurants",https://www.facebook.com/100076110496091/posts/1036195698927437,2026-06-08_record_straight,t8,t15,1101,9,
facebook,"An astonishing 5 to 7 people die homeless on Los Angeles streets every single day. This has been happening for years, ye",https://www.facebook.com/100076110496091/posts/1078388734708133,2026-06-08_record_straight,t29,t30,1093,15,
facebook,"Major events often promise economic boosts, but the reality can be complex. Economists point to substitution, crowding o",https://www.facebook.com/100076110496091/posts/1013918497821824,2026-06-08_record_straight,t3,t7,1081,10,
facebook,"Discover Downey's rich past as a hub for aviation and space exploration, from Volty Aircraft to the Apollo modules. Lear",https://www.facebook.com/100076110496091/posts/1033411445872529,2026-06-08_record_straight,t8,t13,1077,4,
facebook,"An $11 billion bond is being presented with 'Veterans and Affordable Housing' in its name, but less than 10% actually go",https://www.facebook.com/100076110496091/posts/1047096001170740,2026-06-08_record_straight,t15,t17,1042,11,
facebook,You won't believe Norms has an amazing loco moco served with fried rice and egg! It's comfort food at its finest. Enjoy,https://www.facebook.com/100076110496091/posts/1047890314424642,2026-06-08_record_straight,t15,t18,999,6,
facebook,"Sacramento's housing mandates are hitting cities hard. We're a built-out community, and local governments are pushing ba",https://www.facebook.com/100076110496091/posts/1063107219569618,2026-06-08_record_straight,t18,t25,978,15,
facebook,"Carrie's reputation for helping seniors with wills and trusts is outstanding. Many speak of her care for their families,",https://www.facebook.com/100076110496091/posts/1022346416979032,2026-06-08_record_straight,t6,t7,965,13,
facebook,Years on the Public Works Committee revealed the inner workings of our city. From managing our water wells to street rep,https://www.facebook.com/100076110496091/posts/1022977510249256,2026-06-08_record_straight,t6,t7,953,14,
facebook,"Did you know IHOP has a delicious ham and cheese omelet, surprisingly affordable at around $8? Paired with endless coffe",https://www.facebook.com/100076110496091/posts/1059774783236195,2026-06-08_record_straight,t17,t23,927,4,
facebook,The Planning Commission is set to review Honda World's project again on August 18th. While the applicant stands to make,https://www.facebook.com/100076110496091/posts/1065653542648319,2026-06-08_record_straight,t19,t25,921,8,
facebook,"Ever wondered if your military job means combat? Not everyone deployed sees action, and your MOS (job) plays a huge role",https://www.facebook.com/100076110496091/posts/1047273761152964,2026-06-08_record_straight,t15,t17,916,4,
facebook,"Looking for authentic Thai food? Nara Thai on Firestone, across from the Hyundai dealership, is a family-owned spot you",https://www.facebook.com/100076110496091/posts/1054634460416894,2026-06-08_record_straight,t17,t21,900,2,
facebook,Ever wonder why city projects take forever? It's a maze of portals and common sense decisions needing approval. Even whe,https://www.facebook.com/100076110496091/posts/1036811862199154,2026-06-08_record_straight,t8,t16,830,2,
facebook,"At the public hearing for the proposed Downey condo project, residents made their voices heard. According to remarks sha",https://www.facebook.com/100076110496091/posts/1060835146463492,2026-06-08_record_straight,t17,t23,827,4,
